candidate_id,rank,score,reasoning
CAND_0046353,58,0.528549,"Ml Engineer (6.4 yrs, Gurgaon, Haryana); has FAISS, Qdrant, BM25 but career history is only partially aligned to search/ranking systems. Additional concern: long notice period (120 days)."
CAND_0063736,59,0.528445,"Data Scientist (3.7 yrs, Vizag, Andhra Pradesh); has Learning to Rank, Embeddings, Milvus but career history is only partially aligned to search/ranking systems. Included as a marginal match given partial technical overlap."
CAND_0090155,60,0.527429,"Ml Engineer (5.8 yrs, Pune, Maharashtra); has Milvus, Qdrant, Pinecone but career history is only partially aligned to search/ranking systems. Included as a marginal match given partial technical overlap."
CAND_0095528,61,0.526445,"Borderline candidate: Senior Data Scientist (5.3 yrs, Indore, Madhya Pradesh); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0069905,62,0.524710,"Borderline candidate: Applied Ml Engineer (6.6 yrs, Bhubaneswar, Odisha); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0007412,63,0.521507,"Borderline candidate: Applied Ml Engineer (7.4 yrs, Noida, Uttar Pradesh); limited direct match to the Senior AI Engineer requirements. Key gaps: long notice period (120 days)."
CAND_0081053,64,0.519244,"Borderline candidate: Nlp Engineer (5.4 yrs, Chandigarh, Chandigarh); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0072688,65,0.515652,"Borderline candidate: Data Scientist (6.9 yrs, Pune, Maharashtra); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0045475,66,0.514858,"Borderline candidate: Ml Engineer (4.9 yrs, Delhi, Delhi); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0064904,67,0.513887,"Borderline candidate: Ai Engineer (4.9 yrs, Hyderabad, Telangana); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0025640,68,0.512574,"Borderline candidate: Ai Research Engineer (5.6 yrs, Jaipur, Rajasthan); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0051292,69,0.511984,"Borderline candidate: Applied Ml Engineer (5.2 yrs, Trivandrum, Kerala); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0010770,70,0.509823,"Borderline candidate: Recommendation Systems Engineer (15.2 yrs, Kolkata, West Bengal); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0029367,71,0.508398,"Borderline candidate: Senior Data Scientist (5.7 yrs, Bangalore, Karnataka); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0074735,72,0.507808,"Borderline candidate: Applied Ml Engineer (5.5 yrs, Chandigarh, Chandigarh); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0048558,73,0.507605,"Borderline candidate: Data Scientist (6.7 yrs, Noida, Uttar Pradesh); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0061257,74,0.505858,"Borderline candidate: Staff Machine Learning Engineer (8 yrs, Noida, Uttar Pradesh); limited direct match to the Senior AI Engineer requirements. Key gaps: limited core skill match."
CAND_0039838,75,0.504740,"Borderline candidate: Recommendation Systems Engineer (4.9 yrs, Kochi, Kerala); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0099675,76,0.503513,"Borderline candidate: Junior Ml Engineer (3.9 yrs, Kochi, Kerala); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0028793,77,0.502269,"Borderline candidate: Search Engineer (7.2 yrs, Trivandrum, Kerala); limited direct match to the Senior AI Engineer requirements. Key gaps: long notice period (120 days)."
CAND_0055905,78,0.501204,"Borderline candidate: Senior Machine Learning Engineer (8.1 yrs, London, UK); limited direct match to the Senior AI Engineer requirements. Key gaps: based in UK, relocation unknown."
CAND_0084819,79,0.500433,"Borderline candidate: Search Engineer (4.5 yrs, Indore, Madhya Pradesh); limited direct match to the Senior AI Engineer requirements. Key gaps: long notice period (120 days)."
CAND_0013536,80,0.499844,"Borderline candidate: Applied Ml Engineer (14.1 yrs, Trivandrum, Kerala); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0098454,81,0.498940,"Borderline candidate: Ai Specialist (6.6 yrs, Indore, Madhya Pradesh); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0098780,82,0.498861,"Borderline candidate: Ai Research Engineer (5.9 yrs, Bangalore, Karnataka); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0005538,83,0.497692,"Borderline candidate: Senior Ai Engineer (5.9 yrs, Kolkata, West Bengal); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0054546,84,0.496380,"Borderline candidate: Ai Research Engineer (4.9 yrs, Pune, Maharashtra); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0007596,85,0.495904,"Borderline candidate: Junior Ml Engineer (4.4 yrs, Delhi, Delhi); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0082086,86,0.495198,"Borderline candidate: Senior Software Engineer (Ml) (6 yrs, Delhi, Delhi); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0061655,87,0.494986,"Borderline candidate: Machine Learning Engineer (4.6 yrs, Jaipur, Rajasthan); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0083879,88,0.494840,"Borderline candidate: Machine Learning Engineer (7.1 yrs, Noida, Uttar Pradesh); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0075249,89,0.494672,"Borderline candidate: Applied Ml Engineer (6.2 yrs, Ahmedabad, Gujarat); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0018701,90,0.490991,"Borderline candidate: Junior Ml Engineer (6 yrs, Delhi, Delhi); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0017918,91,0.488271,"Borderline candidate: Ml Engineer (3.2 yrs, Bangalore, Karnataka); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0062658,92,0.488086,"Borderline candidate: Junior Ml Engineer (4.2 yrs, Trivandrum, Kerala); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0010603,93,0.487453,"Borderline candidate: Ml Engineer (5.3 yrs, Bangalore, Karnataka); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0043381,94,0.487018,"Borderline candidate: Ai Research Engineer (3.6 yrs, Pune, Maharashtra); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0008239,95,0.483149,"Borderline candidate: Ai Engineer (4 yrs, Jaipur, Rajasthan); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0009024,96,0.482932,"Borderline candidate: Search Engineer (5.2 yrs, Chennai, Tamil Nadu); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0007460,97,0.482878,"Borderline candidate: Ai Engineer (4.7 yrs, Pune, Maharashtra); limited direct match to the Senior AI Engineer requirements. Key gaps: long notice period (120 days)."
CAND_0098846,98,0.482209,"Borderline candidate: Ai Engineer (7.6 yrs, Indore, Madhya Pradesh); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0037944,99,0.474515,"Borderline candidate: Senior Data Scientist (4.9 yrs, Jaipur, Rajasthan); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0001610,100,0.473738,"Borderline candidate: Machine Learning Engineer (3 yrs, Trivandrum, Kerala); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
